,Title,Published_date,Views,Likes,Comments,Month
0,The Essential Programming Concepts For Learning Data Science,11/14/2022,10799,478,39,Nov
1,The Data Content House: What You Missed,10/7/2022,8822,307,55,Oct
2,Is Data Science A Good Career?,9/29/2022,38419,1300,111,Sep
3,IRON ANALYST (Teaser) #shorts,9/27/2022,3705,238,21,Sep
4,When a New Data Scientist Joins The Team,8/29/2022,14549,660,127,Aug
5,State of Data Science - Web Data,8/5/2022,10059,355,33,Aug
6,Data Science Town Hall - State of Data Science,8/4/2022,9678,374,38,Aug
7,The Programming Roadmap For Data Science,7/29/2022,12395,699,51,Jul
8,5 Impactful Data Science Projects For Your Portfolio,6/27/2022,33446,1608,85,Jun
9,Machine Learning Saves My Baseball Career?,6/10/2022,6861,321,68,Jun
10,Every Data Scientist... (funny!),5/24/2022,13953,783,144,May
11,State of Data Science (Town Hall) ft - Data Squad,5/7/2022,15810,427,65,May
12,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,4/4/2022,37305,1085,84,Apr
13,Why You Are NOT Landing Data Jobs ... Yet,3/25/2022,17158,746,105,Mar
14,Can Data Defeat This Deceitful OpenSea NFT Scam?,3/3/2022,4449,183,51,Mar
15,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2/21/2022,10179,481,144,Feb
16,What Professional Data Scientists ACTUALLY Do,2/14/2022,82359,2866,178,Feb
17,Can You Analyze My Data Better Than I Can?,1/31/2022,6348,304,62,Jan
18,Giving Back to My Most Engaged Subscribers!,1/28/2022,2248,117,89,Jan
19,How to Make $1 Billion Betting on Horse Racing with Machine Learning,1/24/2022,14503,604,90,Jan
20,Should You Be Excited About Web 3? (As a Data Scientist),1/17/2022,8390,418,85,Jan
21,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,1/14/2022,7510,213,32,Jan
22,The Only Data Science Explanation You Need,1/10/2022,29900,1683,159,Jan
23,We Need to Talk About The LinkedIn Machine Learning Assessment.,1/3/2022,14000,639,144,Jan
24,How I Would Learn Data Science in 2022 (If I Had to Start Over),12/27/2021,302236,13599,501,Dec
25,What the Heck is WSL 2? (My New Favorite Tool),12/17/2021,8330,347,58,Dec
26,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,12/10/2021,6805,475,22,Dec
27,How Zillow Lost $500 MILLION With Machine Learning,12/3/2021,22724,1112,152,Dec
28,Why Is Data Engineering So HOT Right Now?,11/26/2021,27929,1060,141,Nov
29,Is Data Science Dying?,11/19/2021,107297,3468,336,Nov
30,7 Incredible Books That Transformed My Health and My Life,11/12/2021,7636,381,112,Nov
31,Why EVERYONE Should Start a Podcast (Including YOU),11/5/2021,3556,198,48,Nov
32,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,10/29/2021,9599,250,33,Oct
33,ML Ops: What is it REALLY?,10/22/2021,5266,237,61,Oct
34,Business Skills for Data Science: What are they REALLY?,10/18/2021,6381,285,50,Oct
35,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),10/12/2021,2183,123,5,Oct
36,Roasting My First Data Science Project (Common Project Mistakes),10/8/2021,5470,270,67,Oct
37,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),8/20/2021,11916,514,112,Aug
38,Project Presentation - Expectations vs. Reality (funny) #shorts,8/7/2021,8519,339,32,Aug
39,Data Science Project - Expectations vs Reality (funny) #shorts,8/6/2021,34035,1266,29,Aug
40,How I Learned to Learn.,7/31/2021,44737,2152,201,Jul
41,Is Spotify Shuffle Really Random? #Shorts,7/21/2021,8887,501,49,Jul
42,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),7/16/2021,2353,93,30,Jul
43,Why are APIs Important for Data Science?,7/9/2021,8612,419,95,Jul
44,Is Your Phone REALLY Listening to You?,7/3/2021,4920,276,118,Jul
45,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,6/25/2021,12051,524,121,Jun
46,#66DaysOfData - 3 Reasons to Start!,6/18/2021,3881,214,38,Jun
47,#66DaysOfData - What is it? #shorts,6/11/2021,8014,348,54,Jun
48,A Quick Data Science Project Tip! #SHORTS,6/3/2021,14713,831,89,Jun
49,Discouraged with Data Science? - Watch THIS video.,5/28/2021,7281,388,199,May
50,How Data Science Projects Pay Off,5/22/2021,10014,576,146,May
51,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,5/14/2021,10121,470,136,May
52,What is a lambda function (python)? #shorts,5/13/2021,11460,719,47,May
53,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,5/7/2021,19178,912,57,May
54,What is Pandas? (Data & Data Science) #shorts,4/30/2021,18740,846,88,Apr
55,The 7 Biggest Data Science  Beginner Mistakes,4/23/2021,70222,3146,281,Apr
56,Data Scientist Reacts: REAL Data Science Job Application Data,4/16/2021,22570,661,90,Apr
57,Why You Probably Won't Become a Data Scientist,4/9/2021,128122,3744,481,Apr
58,How to Go From Data Analyst to Data Scientist,4/2/2021,49248,1403,175,Apr
59,Why I Have 2 Offices for Data Science & Content Creation,3/26/2021,3839,138,92,Mar
60,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,3/19/2021,15842,330,106,Mar
61,My Regrets as a Data Science Student,3/12/2021,22971,843,112,Mar
62,My Daily Battle With Time - Will I Win? [Vlog],3/8/2021,3764,194,83,Mar
63,What is the Future of my Comment Leaderboard Project?,2/26/2021,5458,200,81,Feb
64,How to Build a Website  - Building my ULTIMATE Portfolio Website,2/19/2021,6110,163,51,Feb
65,Why I Quit Data Science,2/12/2021,103109,2318,347,Feb
66,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,1/29/2021,9239,434,116,Jan
67,How I Balance Data Science and Content Creation (7 Secrets),1/23/2021,6910,294,126,Jan
68,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),1/16/2021,8679,280,52,Jan
69,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),1/8/2021,19837,660,134,Jan
70,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),1/2/2021,32952,1070,147,Jan
71,What is the #66DaysOfData?,12/26/2020,65970,2221,208,Dec
72,How I Would Learn Data Science in 2021 (What Has Changed?),12/19/2020,129987,5950,501,Dec
73,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),12/10/2020,10336,387,136,Dec
74,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,12/7/2020,22743,709,326,Dec
75,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),11/20/2020,24756,772,166,Nov
76,6 Lessons from #66DaysOfData,11/13/2020,6606,339,95,Nov
77,100K Channel Update + AMA Stream!,11/12/2020,2315,128,24,Nov
78,Find a Data Science Project With These 3 Techniques,11/6/2020,15422,661,101,Nov
79,How I Chose My Masters Degree for Breaking into Data Science,10/30/2020,23643,621,154,Oct
80,git for Data Science Made Simple... (Hopefully),10/23/2020,16485,782,92,Oct
81,The PODCAST you might have asked for?,10/19/2020,2039,94,44,Oct
82,Dealing with Doubt in Data Science (My Impostor Syndrome Story),10/16/2020,6571,444,113,Oct
83,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,10/14/2020,12575,376,48,Oct
84,Data Science Resume Round-Up With @Tina Huang  | Episode 3,10/12/2020,6099,134,62,Oct
